ChemGroup,Chem,cs_ng.g,cd_ng.g,cp_ng.g,Notes
Chlordane,alphaChlordane,0.5,NA,NA,cs = sediment concentration (ng/g dw)
Chlordane,gammaChlordane,0.5,NA,NA,cd = dissolved concentration in water column (pg/L)
Chlordane,alphaNonachlor,0.49,NA,NA,cp = dissolved concentration in pore water (pg/L)
Chlordane,gammaNonachlor,0.5,NA,NA,Leave cell blank if no data
Chlordane,Oxychlordane,0.23,NA,NA,
Dieldrin,Dieldrin,0.5,NA,NA,
DDT,op-DDD,0.189,9.306,NA,
DDT,op-DDE,6.705,44.886,63.87,
DDT,op-DDT,1.2,NA,15.68,
DDT,pp-DDD,3.244,19.453,NA,
DDT,pp-DDE,44.746,306.104,NA,
DDT,pp-DDT,1.099,8.093,NA,
PCB,PCB 8,0.5,NA,NA,
PCB,PCB 11,0.36,NA,47.65,
PCB,PCB 18,0.101,13.186,NA,
PCB,PCB 27,0.44,NA,NA,
PCB,PCB 28,0.167,11.435,NA,
PCB,PCB 29,0.72,NA,NA,
PCB,PCB 31,0.136,6.363,NA,
PCB,PCB 33,0.36,NA,NA,
PCB,PCB 37,0.42,NA,NA,
PCB,PCB 44,0.405,16.225,NA,
PCB,PCB 49,0.5,NA,NA,
PCB,PCB 52,0.5,17.33,NA,
PCB,PCB 56,0.54,NA,NA,
PCB,PCB 60,0.61,65.32,140.8,
PCB,PCB 64,0.38,NA,NA,
PCB,PCB 66,1.05,NA,NA,
PCB,PCB 70,1.35,NA,NA,
PCB,PCB 74,0.194,3.47,NA,
PCB,PCB 77,1.12,NA,NA,
PCB,PCB 81,1.09,NA,NA,
PCB,PCB 87,1.4,NA,NA,
PCB,PCB 95,0.77,NA,NA,
PCB,PCB 97,0.364,3.682,NA,
PCB,PCB 99,0.617,5.898,NA,
PCB,PCB 101,0.181,NA,NA,
PCB,PCB 105,0.454,1.599,NA,
PCB,PCB 110,1.601,9.245,NA,
PCB,PCB 114,0.33,NA,NA,
PCB,PCB 118,0.275,NA,17.98,
PCB,PCB 119,0.41,NA,NA,
PCB,PCB 123,0.63,NA,NA,
PCB,PCB 126,0.38,NA,NA,
PCB,PCB 128,0.71,96.32,NA,
PCB,PCB 132,0.33,NA,NA,
PCB,PCB 137,0.56,165.6,NA,
PCB,PCB 138,0.254,NA,NA,
PCB,PCB 141,0.29,NA,27.86,
PCB,PCB 146,1.01,NA,NA,
PCB,PCB 149,1.25,NA,NA,
PCB,PCB 151,0.215,1.879,NA,
PCB,PCB 153,1.392,5.252,NA,
PCB,PCB 156,0.148,0.32,NA,
PCB,PCB 157,0.56,NA,NA,
PCB,PCB 158,1.3,NA,NA,
PCB,PCB 167,0.74,NA,NA,
PCB,PCB 168,0.21,NA,NA,
PCB,PCB 169,1.11,NA,NA,
PCB,PCB 170,0.331,0.569,NA,
PCB,PCB 174,0.323,0.895,NA,
PCB,PCB 177,0.122,0.523,NA,
PCB,PCB 180,0.698,1.495,NA,
PCB,PCB 183,0.112,0.451,NA,
PCB,PCB 187,0.713,NA,NA,
PCB,PCB 189,0.64,NA,NA,
PCB,PCB 194,0.198,0.238,NA,
PCB,PCB 195,0.066,0.102,NA,
PCB,PCB 198,0.45,NA,NA,
PCB,PCB 199,0.68,NA,NA,
PCB,PCB 200,0.77,NA,NA,
PCB,PCB 201,0.015,0.047,NA,
PCB,PCB 203,1.15,NA,NA,
PCB,PCB 206,1.02,NA,125.7,
PCB,PCB 209,0.86,NA,NA,
