MCSvar,Value
HR1X,29.3
HR2X,0.0071
HR3X,3
HR4X,3
HR5X,0.0012
HR6X,1.05
HR7X,0.0012
HR8X,28.2
HR9X,6.92
HR1SD,60
HR2SD,0.0073
HR3SD,4.689
HR4SD,4.689
HR5SD,0.000804
HR6SD,9904
HR7SD,0.000804
HR8SD,80.34
HR9SD,9.6
CRX,0.032
CRSD,0.032
CVBAF,0.782
indic6PCBX,
indic9DDTX,
indic8ChlordaneX,
indic7PCBX,
indic9ChlordaneX,
sedChlordaneX,0.5
indic5DieldrinX,0.25
indic8PCBX,
indic5ChlordaneSD,0.41574331
indic5DDTSD,2.510696369
indic3DDTSD,
indic9PCBX,
indic6PCBSD,
indic2DieldrinX,0.25
sedDieldrinSD,0
indic9ChlordaneSD,
indic9DDTSD,
sedChlordaneSD,0
indic7DieldrinX,
indic4ChlordaneSD,
indic4DDTSD,
indic2DDTSD,1.300596475
indic5PCBSD,0.976160911
indic1DDTX,
indic3ChlordaneSD,
indic2DDTX,2.407333333
indic4DieldrinX,
indic8ChlordaneSD,
indic3DDTX,
indic8DDTSD,
indic1DieldrinSD,
indic2ChlordaneX,2.0425
indic9PCBSD,
sedPCBX,1.334545455
indic1PCBX,
indic7ChlordaneSD,
indic2DieldrinSD,0
indic1DDTSD,
indic3ChlordaneX,
indic1DieldrinX,
indic2PCBX,71.07914286
indic4PCBSD,
indic9DieldrinX,
indic2PCBSD,36.3098109
indic3DieldrinSD,
indic2ChlordaneSD,0.909979488
sedDDTX,1.191666667
indic4DieldrinSD,
indic1ChlordaneX,
sedDDTSD,0.765187659
indic7DDTSD,
indic6DieldrinX,
indic5DieldrinSD,0
indic6ChlordaneX,
indic8PCBSD,
indic4DDTX,
indic6DieldrinSD,
indic7ChlordaneX,
indic6ChlordaneSD,
sedPCBSD,1.602161083
indic5DDTX,7.283
indic7DieldrinSD,
indic3PCBSD,
indic4ChlordaneX,
indic1PCBSD,
indic3DieldrinX,
indic3PCBX,
indic6DDTX,
indic8DieldrinSD,
indic5ChlordaneX,2.5275
indic4PCBX,
indic7DDTX,
indic9DieldrinSD,
indic6DDTSD,
indic5PCBX,1.9195
indic7PCBSD,
indic8DDTX,
sedDieldrinX,0.5
indic8DieldrinX,
indic1ChlordaneSD,
