Biota,mp,mp SD,lipid,lipid SD,nlom,nlom SD,nloc,nloc SD,Wb,Wb SD,taxa,GR,GR SD,assimEff_1,assimEff_2,assimEff_3,assimEff SD
Sediment,0,,0,,0,,0,,0,,,0,,0,0,0,
Phytoplankton,0,,0.0012,,0,,0.06,,0,,,0.125,,0,0,0,
Submerged Macrophyte,0,,0.0038,,0,,0.06,,0,,,0.125,,0,0,0,
Zooplankton,0,,0.01,,0.2,,0,,7.10E-08,,,0.00035,,0.75,0.75,0.55,
"Small polychaete (e.g., Harmothoe imbricata)",0.05,,0.0075,,0.2,,0,,1.00E-07,,,0.00035,,0.75,0.75,0.55,
"Large polychaete (e.g., Neanthes)",0.05,,0.0075,,0.2,,0,,1.10E-04,,,0.00035,,0.75,0.75,0.55,
Amphipod,0,,0.01,,0.2,,0,,3.13E-06,,,0.00035,,0.75,0.75,0.55,
Cumacean,0,,0.01,,0.2,,0,,5.00E-06,,,0.00035,,0.75,0.75,0.55,
Mysid,0,,0.01,,0.2,,0,,1.50E-05,,,0.00035,,0.75,0.75,0.55,
Bivalve mollusk,0.05,,0.0086,,0.1,,0,,1.12E-02,,,0.00035,,0.75,0.75,0.55,
Decapod crab,0.05,,0.0125,,0.2,,0,,5.00E-03,,,0.00035,,0.75,0.75,0.55,
Crangon shrimp,0,,0.02,,0.2,,0,,3.72E-04,,,0.00035,,0.75,0.75,0.55,
Forage fish - herbivore,0,,0.012,,0.2,,0,,4.00E-03,,,0.0007,,0.92,0.6,0.55,
Forage fish - planktivore,0,,0.025,,0.2,,0,,2.15E-02,,,0.0007,,0.92,0.6,0.55,
Forage fish  - primarily benthivore,0,,0.018,,0.2,,0,,1.50E-02,,,0.0007,,0.92,0.6,0.55,
Forage fish - benthivore,0,,0.03,,0.2,,0,,3.00E-02,,,0.0007,,0.92,0.6,0.55,
Forage fish - mixed diet i,0,,0.02,,0.2,,0,,1.31E-03,,,0.0007,,0.92,0.6,0.55,
Forage fish - mixed diet ii,0.05,,0.03,,0.2,,0,,1.30E-01,,,0.0007,,0.92,0.6,0.55,
Indicator species 1,0,,,,0.2,,0,,1.46E+00,,,0.0007,,0.92,0.6,0.55,
Indicator species 2,0,,,,0.2,,0,,6.00E-01,,,0.0007,,0.92,0.6,0.55,
Indicator species 3,0,,,,0.2,,0,,5.00E-02,,,0.0007,,0.92,0.6,0.55,
Indicator species 4,0,,,,0.2,,0,,3.71E-01,,,0.0007,,0.92,0.6,0.55,
Indicator species 5,0,,,,0.2,,0,,0.0513,,,0.0007,,0.92,0.6,0.55,
Indicator species 6,0,,,,0.2,,0,,2,,,0.0007,,0.92,0.6,0.55,
Indicator species 7,0,,,,0.2,,0,,0.02,,,0.0007,,0.92,0.6,0.55,
Indicator species 8,0,,,,0.2,,0,,1.23,,,0.0007,,0.92,0.6,0.55,
Indicator species 9,0,,,,0.2,,0,,1,,,0.0007,,0.92,0.6,0.55,
