Chem,Kow,Kow_SD,KowTS,KowTS_SD,Koa,Koa_SD,cs_ng.g_dw,cs_SD,cwto_ng.g,cw_SD,kM,kM_SD,beta,beta_SD,betap,betap_SD,ChemGroup,Log_Kow_Ben,Log_Kow_TS_Ben
Dieldrin,4.30E+05,0.00E+00,6.66E+05,0.00E+00,1.07E+10,0.00E+00,0.100093969,1.7,4.44E-05,1.25,0,0,0.035,0,0.35,0,Dieldrin,,
cisNonachlor,6.50E+05,0.00E+00,1.16E+06,0.00E+00,1.07E+10,0.00E+00,0.037636239,1.7,8.14E-06,1.25,0,0,0.035,0,0.35,0,Chlordane,,
gammaChlordane,2.34E+06,0.00E+00,3.55E+06,0.00E+00,1.07E+10,0.00E+00,0.045726549,1.7,1.02E-05,1.25,0,0,0.035,0,0.35,0,Chlordane,,
alphaChlordane,1.78E+06,0.00E+00,2.69E+06,0.00E+00,1.07E+10,0.00E+00,0.088020569,1.7,1.36E-05,1.25,0,0,0.035,0,0.35,0,Chlordane,,
transNonachlor,6.50E+05,0.00E+00,1.16E+06,0.00E+00,1.07E+10,0.00E+00,0.06321376,1.7,9.13E-06,1.25,0,0,0.035,0,0.35,0,Chlordane,,
Oxychlordane,5.62E+02,0.00E+00,7.41E+02,0.00E+00,1.07E+10,0.00E+00,0.003774763,1.7,1.93E-06,1.25,0,0,0.035,0,0.35,0,Chlordane,,
opDDD,2.84E+05,0.00E+00,4.68E+05,0.00E+00,1.07E+10,0.00E+00,0.169040664,1.7,2.30E-05,1.25,0,0,0.035,0,0.35,0,DDT,,
opDDE,5.47E+05,0.00E+00,8.91E+05,0.00E+00,1.07E+10,0.00E+00,0.044068847,1.7,3.74E-06,1.25,0,0,0.035,0,0.35,0,DDT,,
opDDT,6.50E+05,0.00E+00,1.11E+06,0.00E+00,1.07E+10,0.00E+00,0.018570795,1.7,3.16E-06,1.25,0,0,0.035,0,0.35,0,DDT,,
ppDDD,2.77E+06,0.00E+00,4.57E+06,0.00E+00,1.07E+10,0.00E+00,0.905890723,1.7,9.59E-05,1.25,0,0,0.035,0,0.35,0,DDT,,
ppDDE,1.10E+07,0.00E+00,1.80E+07,0.00E+00,1.07E+10,0.00E+00,0.880673066,1.7,8.29E-05,1.25,0,0,0.035,0,0.35,0,DDT,,
ppDDT,3.18E+06,0.00E+00,5.43E+06,0.00E+00,1.07E+10,0.00E+00,0.175684762,1.7,9.46E-06,1.25,0,0,0.035,0,0.35,0,DDT,,
PCB8,1.82E+05,0.00E+00,2.61E+05,0.00E+00,6.18E+07,0.00E+00,0.174720788,1.7,9.68E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB18,2.81E+05,0.00E+00,4.17E+05,0.00E+00,4.69E+07,0.00E+00,0.303919281,1.7,8.91E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB28,6.63E+05,0.00E+00,9.85E+05,0.00E+00,2.15E+08,0.00E+00,0.515373012,1.7,1.60E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB31,8.69E+05,0.00E+00,1.29E+06,0.00E+00,268725914.9,0.00E+00,0.203763252,1.7,1.40E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB33,6.45E+05,0.00E+00,9.58E+05,0.00E+00,200882619,0.00E+00,0.331901512,1.7,6.09E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB44,9.49E+05,0.00E+00,1.46E+06,0.00E+00,795533636.7,0.00E+00,0.224708682,1.7,9.54E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB49,1.30E+06,0.00E+00,1.99E+06,0.00E+00,338216913.8,0.00E+00,0.157408568,1.7,1.48E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB52,1.20E+06,0.00E+00,1.84E+06,0.00E+00,523408303.1,0.00E+00,0.304567514,1.7,2.31E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB56,1.58E+06,0.00E+00,2.43E+06,0.00E+00,1307110373,0.00E+00,0.275987534,1.7,9.39E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB60,2.00E+06,0.00E+00,3.07E+06,0.00E+00,3479293194,0.00E+00,0.215009558,1.7,6.56E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB66,1.50E+06,0.00E+00,2.30E+06,0.00E+00,3726344321,0.00E+00,0.138611895,1.7,1.28E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB70,1.87E+06,0.00E+00,2.87E+06,0.00E+00,1630933007,0.00E+00,0.163713959,1.7,1.29E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB74,1.89E+06,0.00E+00,2.91E+06,0.00E+00,2451115287,0.00E+00,0.227118683,1.7,3.39E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB87,3.30E+06,0.00E+00,5.24E+06,0.00E+00,3124196212,0.00E+00,0.486874196,1.7,7.68E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB95,1.68E+06,0.00E+00,2.67E+06,0.00E+00,1781287033,0.00E+00,0.284443969,1.7,1.80E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB97,2.77E+06,0.00E+00,4.39E+06,0.00E+00,2705110366,0.00E+00,0.126769624,1.7,8.76E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB99,3.40E+06,0.00E+00,5.41E+06,0.00E+00,3727554196,0.00E+00,0.271696842,1.7,1.69E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB101,2.99E+06,0.00E+00,4.75E+06,0.00E+00,2167230145,0.00E+00,0.323376447,1.7,2.92E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB105,9.90E+06,0.00E+00,1.57E+07,0.00E+00,11876058157,0.00E+00,0.449423903,1.7,9.95E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB110,3.02E+06,0.00E+00,4.79E+06,0.00E+00,2907864128,0.00E+00,0.421962821,1.7,3.20E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB118,5.82E+06,0.00E+00,9.25E+06,0.00E+00,8132460063,0.00E+00,0.543163988,1.7,3.00E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB128,9.16E+06,0.00E+00,1.50E+07,0.00E+00,15658329379,0.00E+00,0.091536041,1.7,5.10E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB132,4.88E+06,0.00E+00,8.02E+06,0.00E+00,9034536371,0.00E+00,0.162458001,1.7,1.05E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB138,2.36E+07,0.00E+00,3.88E+07,0.00E+00,15418784516,0.00E+00,0.722272033,1.7,3.71E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB141,8.29E+06,0.00E+00,1.36E+07,0.00E+00,18163236960,0.00E+00,0.097837813,1.7,4.80E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB149,5.94E+06,0.00E+00,9.75E+06,0.00E+00,9102623916,0.00E+00,0.484900669,1.7,3.47E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB151,5.60E+06,0.00E+00,9.21E+06,0.00E+00,10344315672,0.00E+00,0.586626839,1.7,1.29E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB153,1.15E+07,0.00E+00,1.89E+07,0.00E+00,10531440236,0.00E+00,0.467777029,1.7,5.07E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB156,1.42E+07,0.00E+00,2.33E+07,0.00E+00,65383517502,0.00E+00,0.398982968,1.7,3.87E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB158,1.03E+07,0.00E+00,1.69E+07,0.00E+00,30510456724,0.00E+00,0.27088239,1.7,3.29E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB170,2.16E+07,0.00E+00,3.66E+07,0.00E+00,94372569472,0.00E+00,0.142587835,1.7,1.34E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB174,1.59E+07,0.00E+00,2.70E+07,0.00E+00,49008776085,0.00E+00,0.127249273,1.7,8.99E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB177,1.50E+07,0.00E+00,2.55E+07,0.00E+00,63560497254,0.00E+00,0.43165024,1.7,1.04E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB180,2.18E+07,0.00E+00,3.71E+07,0.00E+00,53841900631,0.00E+00,0.332219139,1.7,2.64E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB183,1.94E+07,0.00E+00,3.29E+07,0.00E+00,93941479104,0.00E+00,0.097947563,1.7,7.39E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB187,1.83E+07,0.00E+00,3.11E+07,0.00E+00,61423842154,0.00E+00,0.439514668,1.7,2.26E-05,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB194,85506393.59,0.00E+00,150198250.9,0.00E+00,5.05E+11,0.00E+00,0.142309375,1.7,8.08E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB195,41879220.5,0.00E+00,73563922,0.00E+00,3.77E+11,0.00E+00,0.137897217,1.7,2.53E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB201,47533368.22,0.00E+00,83495847.12,0.00E+00,2.40E+11,0.00E+00,0.070879023,1.7,4.75E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
PCB203,50349897.36,0.00E+00,88443287.1,0.00E+00,3.59E+11,0.00E+00,0.28559049,1.7,4.81E-06,1.25,0,0,0.035,0,0.35,0,PCB,,
